EURUSD;15;Setup;Trend_Cont;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;60;BellCurve;21EMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;CCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;TD_Nine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;BB_RSI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;ST_Reload;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;ST_Mom_Div;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;240;Setup;Trend_Cont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;Trend_Reversal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;MACD_Div_Partial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;MACD_Div_Full;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;REload_ST;;;;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;240;Setup;REload_MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;CycleAfter_X;;;;;;;;;;;;;;;s;s;s;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;CycleAfter_DAD;;;;;;;;;;;;;;s;s;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;MT_MOM_Wave3;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;240;Setup;MT_MOM_Wave2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;X_Marks_the_spot;;;;;;;;;;;;;;;;;;;;;;;;s;s;s;s;s;s;s;2026.01.09;07:00
EURUSD;240;Setup;ImpulseWithoutRetrace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;MT_Rubberband;;;;;;;;b;b;;;;;;;;;;;;;;;;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;240;Setup;ST_Rubberband;;;b;b;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;Setup;LT_Conv.;;;;;;;;;;b;b;b;;s;s;s;s;;;;;;;;b;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;MT_K_Angle;;;b;;;;b;b;b;b;b;b;;;s;s;s;;;;;;;s;;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;MT_D_Angle;b;b;b;b;b;;;;;;b;b;;;;;;;;;;;;s;;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;MT_MOM_Angle;;;;;;;;;b;b;b;b;;s;s;s;s;;;;;;;s;;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;ST_D_Angle;;;;;;;;b;b;b;b;b;;s;s;s;s;;;;;;;s;;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;ST_MOM_Angle;;;b;;;;;;b;b;b;b;;s;s;s;s;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;K_D_MOM;ST_K_Angle;;;b;;;;b;b;b;b;;;;s;s;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;TRIGGER;P.ActionBar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;TRIGGER;Stoc_Div.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;TRIGGER;TD_Alignm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;TRIGGER;MA_S&R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;BellCurve;TopDOG_Setup;;;b;b;b;b;b;b;b;b;b;b;;b;s;s;s;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;240;BellCurve;TD_Alignment;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;240;BellCurve;TD_Countdown;;;;;;;;;;;;;;b;;;;;;;;;;;;;;;;;2026.01.09;07:00
